Material,Space group,Crystal Type,Band gap,stoichiometry,media_Z,media_pon_Z,max_Z,min_Z,desvio_Z,desvio_pon_Z,media_Electronegativity,media_pon_Electronegativity,max_Electronegativity,min_Electronegativity,desvio_Electronegativity,desvio_pon_Electronegativity,media_IonizationPotential,media_pon_IonizationPotential,max_IonizationPotential,min_IonizationPotential,desvio_IonizationPotential,desvio_pon_IonizationPotential,media_ElectronAffinity,media_pon_ElectronAffinity,max_ElectronAffinity,min_ElectronAffinity,desvio_ElectronAffinity,desvio_pon_ElectronAffinity,media_HOMO,media_pon_HOMO,max_HOMO,min_HOMO,desvio_HOMO,desvio_pon_HOMO,media_LUMO,media_pon_LUMO,max_LUMO,min_LUMO,desvio_LUMO,desvio_pon_LUMO,media_r_s_orbital,media_pon_r_s_orbital,max_r_s_orbital,min_r_s_orbital,desvio_r_s_orbital,desvio_pon_r_s_orbital,media_r_p_orbital,media_pon_r_p_orbital,max_r_p_orbital,min_r_p_orbital,desvio_r_p_orbital,desvio_pon_r_p_orbital,media_r_d_orbital,media_pon_r_d_orbital,max_r_d_orbital,min_r_d_orbital,desvio_r_d_orbital,desvio_pon_r_d_orbital,media_r_atomic_nonbonded,media_pon_r_atomic_nonbonded,max_r_atomic_nonbonded,min_r_atomic_nonbonded,desvio_r_atomic_nonbonded,desvio_pon_r_atomic_nonbonded,media_r_valence_lastorbital,media_pon_r_valence_lastorbital,max_r_valence_lastorbital,min_r_valence_lastorbital,desvio_r_valence_lastorbital,desvio_pon_r_valence_lastorbital,media_r_covalent,media_pon_r_covalent,max_r_covalent,min_r_covalent,desvio_r_covalent,desvio_pon_r_covalent,media_Valence,media_pon_Valence,max_Valence,min_Valence,desvio_Valence,desvio_pon_Valence,media_PeriodicColumn,media_pon_PeriodicColumn,max_PeriodicColumn,min_PeriodicColumn,desvio_PeriodicColumn,desvio_pon_PeriodicColumn,media_PeriodicColumn_upto18,media_pon_PeriodicColumn_upto18,max_PeriodicColumn_upto18,min_PeriodicColumn_upto18,desvio_PeriodicColumn_upto18,desvio_pon_PeriodicColumn_upto18,media_NumberUnfilledOrbitals,media_pon_NumberUnfilledOrbitals,max_NumberUnfilledOrbitals,min_NumberUnfilledOrbitals,desvio_NumberUnfilledOrbitals,desvio_pon_NumberUnfilledOrbitals,media_Polarizability,media_pon_Polarizability,max_Polarizability,min_Polarizability,desvio_Polarizability,desvio_pon_Polarizability
Be4,Pbcm,A-57-d,0.0,A,4.0,4.0,4,4,0.0,0.0,1.57,1.57,1.57,1.57,0.0,0.0,-9.5007,-9.5007,-9.5007,-9.5007,0.0,0.0,0.7972,0.7972,0.7972,0.7972,0.0,0.0,-5.6097,-5.6097,-5.6097,-5.6097,0.0,0.0,-2.0104,-2.0104,-2.0104,-2.0104,0.0,0.0,1.0805,1.0805,1.0805,1.0805,0.0,0.0,1.2128,1.2128,1.2128,1.2128,0.0,0.0,1.9594,1.9594,1.9594,1.9594,0.0,0.0,0.9,0.9,0.9,0.9,0.0,0.0,1.0805,1.0805,1.0805,1.0805,0.0,0.0,0.96,0.96,0.96,0.96,0.0,0.0,2.0,2.0,2.0,2.0,0.0,0.0,2.0,2.0,2.0,2.0,0.0,0.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.71,37.71,37.71,37.71,0.0,0.0
AlTe4,Cm,AB4-8-a,0.0,AB4,32.5,44.2,52,13,19.5,22.740712389896675,1.855,2.002,2.1,1.61,0.245,0.28571664284741954,-7.706799999999999,-8.900319999999999,-5.7176,-9.696,1.9891999999999999,2.3197859018452536,-1.2054,-1.95048,0.0364,-2.4472,1.2418,1.448175212603779,-4.33185,-5.30376,-2.712,-5.9517,1.6198499999999998,1.8890534853730316,3.5525,3.8138600000000005,3.9881,3.1169,0.4356000000000002,0.507992529078923,1.0270000000000001,0.98062,1.1043,0.9497,0.07730000000000004,0.09014651629430835,1.27285,1.1986599999999998,1.3965,1.1492,0.12365000000000004,0.14419944035952442,1.0697,0.68546,1.7101,0.4293,0.6404,0.7468283186917861,1.2650000000000001,1.316,1.35,1.18,0.08500000000000008,0.0991261822123702,1.27285,1.1986599999999998,1.3965,1.1492,0.12365000000000004,0.14419944035952442,1.295,1.3459999999999999,1.38,1.21,0.08499999999999996,0.09912618221237003,9.5,13.4,16.0,3.0,6.5,7.580237463298891,4.5,5.4,6.0,3.0,1.5,1.7492855684535902,14.5,15.4,16.0,13.0,1.5,1.7492855684535902,3.5,2.6,5.0,2.0,1.5,1.7492855684535902,46.2,40.68,55.4,37.0,9.2,10.728951486515351
As4O6,P2_1,A2B3-4-a,3.876239173691788,A2B3,20.5,18.0,33,8,12.5,12.747548783981962,2.81,2.936,3.44,2.18,0.6299999999999999,0.6424764587126908,-12.7017,-13.42256,-9.0974,-16.306,3.6043000000000003,3.6756792065684953,-2.2098,-2.33126,-1.6025,-2.8171,0.6073,0.6193269101209796,-7.11345,-7.49686,-5.1964,-9.0305,1.9170500000000001,1.95501507170661,4.203,4.20408,4.2084,4.1976,0.005399999999999849,0.005506941074680054,0.6583,0.6188,0.8558,0.4608,0.1975,0.201411270786915,0.742,0.68026,1.0507,0.4333,0.3087,0.3148134647692185,0.6637,0.74596,1.075,0.2524,0.4113,0.4194453451881424,0.96,0.914,1.19,0.73,0.22999999999999998,0.23455489762526807,0.742,0.68026,1.0507,0.4333,0.3087,0.3148134647692185,0.925,0.8719999999999999,1.19,0.66,0.26499999999999996,0.2702480342204176,10.5,9.6,15.0,6.0,4.5,4.589117562233507,5.5,5.6,6.0,5.0,0.5,0.5099019513592784,15.5,15.6,16.0,15.0,0.5,0.5099019513592784,2.5,2.4,3.0,2.0,0.5,0.5099019513592785,17.52,15.064000000000002,29.8,5.24,12.280000000000001,12.523191925383879
As4S6,Pc,A2B3-7-a,2.2719954159044966,A2B3,24.5,22.8,33,16,8.5,8.668333173107735,2.38,2.4200000000000004,2.58,2.18,0.19999999999999996,0.20396078054371142,-10.411100000000001,-10.67384,-9.0974,-11.7248,1.3136999999999999,1.3397163870013682,-2.1007,-2.2003399999999997,-1.6025,-2.5989,0.4982,0.508066304334385,-6.102399999999999,-6.2836,-5.1964,-7.0084,0.9060000000000001,0.9239423358630128,4.41855,4.46274,4.6395,4.1976,0.22094999999999976,0.22532567230566491,0.80155,0.7907,0.8558,0.7473,0.05425000000000002,0.055324361722481744,0.95,0.92986,1.0507,0.8493,0.10069999999999996,0.10269425300375865,0.8229,0.937,1.3934,0.2524,0.5705,0.5817981265009368,1.105,1.0879999999999999,1.19,1.02,0.08499999999999996,0.08668333173107733,0.95,0.92986,1.0507,0.8493,0.10069999999999996,0.10269425300375865,1.12,1.106,1.19,1.05,0.06999999999999995,0.07138627319029892,10.5,9.6,15.0,6.0,4.5,4.589117562233507,5.5,5.6,6.0,5.0,0.5,0.5099019513592784,15.5,15.6,16.0,15.0,0.5,0.5099019513592784,2.5,2.4,3.0,2.0,0.5,0.5099019513592785,24.585,23.542,29.8,19.37,5.215,5.318277352677274
B2N,P-3m1,AB2-164-bd,0.0,AB2,6.0,5.666666666666667,7,5,1.0,1.0540925533894596,2.54,2.3733333333333335,3.04,2.04,0.5,0.5270462766947298,-10.845849999999999,-9.939266666666667,-8.1261,-13.5656,2.7197500000000003,2.8668682220809836,-0.8228500000000001,-0.5381666666666667,0.0312,-1.6769,0.8540500000000001,0.9002477452222681,-5.34825,-4.767733333333333,-3.6067,-7.0898,1.7415500000000002,1.8357548863554138,3.3036499999999998,3.0206666666666666,4.1526,2.4547,0.8489499999999999,0.8948718731999817,0.6693,0.7136999999999999,0.8025,0.5361,0.13319999999999999,0.14040512811147599,0.6751,0.7283333333333334,0.8348,0.5154,0.1597,0.16833858077629676,1.28795,1.3126,1.3619,1.214,0.07395000000000007,0.0779501443231506,0.7849999999999999,0.7966666666666665,0.82,0.75,0.034999999999999976,0.03689323936863103,0.6751,0.7283333333333334,0.8348,0.5154,0.1597,0.16833858077629676,0.7749999999999999,0.7966666666666665,0.84,0.71,0.065,0.06851601597031486,4.0,3.6666666666666665,5.0,3.0,1.0,1.0540925533894598,4.0,3.6666666666666665,5.0,3.0,1.0,1.0540925533894598,14.0,13.666666666666666,15.0,13.0,1.0,1.05409255338946,4.0,4.333333333333333,5.0,3.0,1.0,1.0540925533894596,14.065000000000001,16.220000000000002,20.53,7.6,6.465000000000001,6.814708357662859
Bi4Cu4,Pmma,AB-51-cef,0.0,AB,56.0,56.0,83,29,27.0,27.0,1.96,1.96,2.02,1.9,0.06000000000000005,0.06000000000000005,-8.08165,-8.08165,-7.8723,-8.291,0.20935000000000015,0.20935000000000015,-1.4745,-1.4745,-1.4328,-1.5162,0.04169999999999996,0.04169999999999996,-4.5884,-4.5884,-4.5686,-4.6082,0.01980000000000004,0.01980000000000004,1.75475,1.75475,2.1526,1.3569,0.39785000000000004,0.39785000000000004,1.09605,1.09605,1.2022,0.9899,0.10614999999999997,0.10614999999999997,1.2754500000000002,1.2754500000000002,1.3017,1.2492,0.026249999999999996,0.026249999999999996,0.43295000000000006,0.43295000000000006,0.5469,0.319,0.11395000000000002,0.11395000000000002,1.42,1.42,1.46,1.38,0.040000000000000036,0.040000000000000036,1.25195,1.25195,1.3017,1.2022,0.049750000000000065,0.049750000000000065,1.4,1.4,1.48,1.32,0.07999999999999996,0.07999999999999996,20.0,20.0,29.0,11.0,9.0,9.0,3.0,3.0,5.0,1.0,2.0,2.0,13.0,13.0,15.0,11.0,2.0,2.0,2.0,2.0,3.0,1.0,1.0,1.0,51.72,51.72,53.44,50.0,1.7199999999999989,1.7199999999999989
C6N8,P-6m2,A3B4-187-bdkm,1.2653015773792378,A3B4,6.5,6.571428571428571,7,6,0.5,0.5050762722761053,2.795,2.8299999999999996,3.04,2.55,0.2450000000000001,0.2474873734152917,-12.15325,-12.355014285714287,-10.7409,-13.5656,1.41235,1.426688946298315,-1.1938,-1.262814285714286,-0.7107,-1.6769,0.48310000000000003,0.48800469427317306,-6.1876,-6.316485714285714,-5.2854,-7.0898,0.9022000000000001,0.9113596256950046,3.9494999999999996,3.9785142857142857,4.1526,3.7464,0.20309999999999984,0.20516198179855388,0.5889500000000001,0.5814000000000001,0.6418,0.5361,0.05285000000000001,0.05338656197958433,0.57605,0.5673857142857143,0.6367,0.5154,0.06065000000000004,0.061265751827091625,1.17475,1.1803571428571427,1.214,1.1355,0.03925000000000001,0.03964848737367426,0.76,0.7585714285714287,0.77,0.75,0.010000000000000009,0.010101525445522104,0.57605,0.5673857142857143,0.6367,0.5154,0.06065000000000004,0.061265751827091625,0.735,0.7314285714285714,0.76,0.71,0.025000000000000022,0.025253813613805288,4.5,4.571428571428571,5.0,4.0,0.5,0.5050762722761053,4.5,4.571428571428571,5.0,4.0,0.5,0.5050762722761053,14.5,14.571428571428571,15.0,14.0,0.5,0.5050762722761053,3.5,3.4285714285714284,4.0,3.0,0.5,0.5050762722761054,9.43,9.168571428571429,11.26,7.6,1.83,1.8485791565305456
CuBr,P-6m2,AB-187-bf,1.0237021928664132,AB,32.0,32.0,35,29,3.0,3.0,2.4299999999999997,2.4299999999999997,2.96,1.9,0.53,0.53,-10.3977,-10.3977,-8.291,-12.5044,2.1067,2.1067,-2.4739,-2.4739,-1.4328,-3.515,1.0411000000000001,1.0411000000000001,-6.23335,-6.23335,-4.6082,-7.8585,1.62515,1.62515,3.3880999999999997,3.3880999999999997,5.4193,1.3569,2.0312,2.0312,0.9767999999999999,0.9767999999999999,1.2022,0.7514,0.2254,0.2254,1.0663,1.0663,1.2492,0.8834,0.18290000000000006,0.18290000000000006,0.27355,0.27355,0.319,0.2281,0.045450000000000004,0.045450000000000004,1.2599999999999998,1.2599999999999998,1.38,1.14,0.12,0.12,1.0428,1.0428,1.2022,0.8834,0.1594,0.1594,1.26,1.26,1.32,1.2,0.06000000000000005,0.06000000000000005,14.0,14.0,17.0,11.0,3.0,3.0,4.0,4.0,7.0,1.0,3.0,3.0,14.0,14.0,17.0,11.0,3.0,3.0,1.0,1.0,1.0,1.0,0.0,0.0,37.62,37.62,53.44,21.8,15.819999999999999,15.819999999999999
Cu2S,P6/mmm,AB2-191-bd,0.0,AB2,22.5,24.666666666666668,29,16,6.5,6.851601597031489,2.24,2.1266666666666665,2.58,1.9,0.3400000000000001,0.35839146815241646,-10.0079,-9.4356,-8.291,-11.7248,1.7168999999999999,1.8097715049143632,-2.01585,-1.8215000000000001,-1.4328,-2.5989,0.58305,0.6145886632537244,-5.8083,-5.408266666666667,-4.6082,-7.0084,1.2001,1.2650164733226905,2.9981999999999998,2.4511,4.6395,1.3569,1.6413,1.7300821078781203,0.97475,1.0505666666666666,1.2022,0.7473,0.22744999999999999,0.23975335126843264,1.04925,1.1159000000000001,1.2492,0.8493,0.19995000000000002,0.21076580605022252,0.8562,0.6771333333333334,1.3934,0.319,0.5371999999999999,0.5662585196808178,1.2,1.26,1.38,1.02,0.17999999999999994,0.18973665961010272,1.02575,1.0845666666666667,1.2022,0.8493,0.17644999999999994,0.18599463104557012,1.185,1.2300000000000002,1.32,1.05,0.135,0.14230249470757714,8.5,9.333333333333334,11.0,6.0,2.5,2.6352313834736494,3.5,2.6666666666666665,6.0,1.0,2.5,2.6352313834736494,13.5,12.666666666666666,16.0,11.0,2.5,2.6352313834736494,1.5,1.3333333333333333,2.0,1.0,0.5,0.5270462766947299,36.405,42.083333333333336,53.44,19.37,17.034999999999997,17.956466646989448
Ga2Te3,P-3m1,A2B3-164-bd,0.0,A2B3,41.5,43.6,52,31,10.5,10.70794097854485,1.955,1.9840000000000004,2.1,1.81,0.14500000000000002,0.14787156589419084,-7.66405,-8.070440000000001,-5.6321,-9.696,2.0319499999999997,2.0721905401289717,-1.1604,-1.41776,0.1264,-2.4472,1.2868,1.3122836620182392,-4.2654,-4.60266,-2.5791,-5.9517,1.6863,1.7196953211543027,3.6305500000000004,3.7020600000000004,3.9881,3.273,0.35755000000000003,0.36463088541702016,0.9762,0.9709,1.0027,0.9497,0.026499999999999968,0.02702480342204172,1.2466,1.22712,1.344,1.1492,0.09740000000000004,0.0993289001247875,0.3558,0.3705,0.4293,0.2823,0.07350000000000001,0.07495558684981395,1.3050000000000002,1.314,1.35,1.26,0.04500000000000004,0.045891175622335106,1.2466,1.22712,1.344,1.1492,0.09740000000000004,0.0993289001247875,1.2999999999999998,1.316,1.38,1.22,0.07999999999999996,0.08158431221748454,14.5,14.8,16.0,13.0,1.5,1.5297058540778357,4.5,4.8,6.0,3.0,1.5,1.5297058540778354,14.5,14.8,16.0,13.0,1.5,1.5297058540778357,3.5,3.2,5.0,2.0,1.5,1.5297058540778354,44.2,42.760000000000005,51.4,37.0,7.199999999999999,7.342588099573608
Hg4I8,P-4m2,AB2-115-fgik,1.6639636631658328,AB2,66.5,62.0,80,53,13.5,14.230249470757707,2.33,2.44,2.66,2.0,0.33000000000000007,0.3478505426185218,-10.9053,-10.9674,-10.719,-11.0916,0.18630000000000013,0.1963774426964565,-0.81475,-1.649,1.688,-3.3175,2.50275,2.63813013799547,-6.94595,-6.991933333333333,-6.808,-7.0839,0.13795000000000002,0.1454120677400759,2.5431,3.1043333333333334,4.2268,0.8594,1.6837,1.7747756321418335,1.03495,0.9907666666666666,1.1675,0.9024,0.13255,0.1397199679517729,1.4741499999999998,1.3410666666666666,1.8734,1.0749,0.39925,0.4208464519407418,0.51385,0.47986666666666666,0.6158,0.4119,0.10195000000000001,0.10746473581805543,1.4100000000000001,1.3833333333333335,1.49,1.33,0.07999999999999996,0.08432740427115669,1.1212,1.1057666666666666,1.1675,1.0749,0.04630000000000001,0.04880448522193202,1.355,1.3666666666666665,1.39,1.32,0.03499999999999992,0.03689323936863096,21.5,20.0,26.0,17.0,4.5,4.743416490252569,4.5,5.333333333333333,7.0,2.0,2.5,2.6352313834736494,14.5,15.333333333333334,17.0,12.0,2.5,2.6352313834736494,0.5,0.6666666666666666,1.0,0.0,0.5,0.5270462766947299,34.435,34.49,34.6,34.27,0.16499999999999915,0.17392527130925997
In2Se3,P-3m1,A2B3-164-bd,0.434937521082428,A2B3,41.5,40.0,49,34,7.5,7.648529270389178,2.165,2.242,2.55,1.78,0.3849999999999999,0.3926245025466443,-8.05485,-8.60266,-5.3158,-10.7939,2.73905,2.7932938797412636,-1.27285,-1.52516,-0.0113,-2.5344,1.26155,1.2865336134745957,-4.5143,-4.91354,-2.5181,-6.5105,1.9962000000000002,2.0357325506067836,3.71985,3.92446,4.7429,2.6968,1.0230499999999998,1.0433103826762196,0.9702,0.9361,1.1407,0.7997,0.17050000000000004,0.173876565413514,1.23555,1.1800000000000002,1.5133,0.9578,0.27775000000000005,0.2832505339800792,0.3663,0.34097999999999995,0.4929,0.2397,0.1266,0.12910717408416933,1.2999999999999998,1.2719999999999998,1.44,1.16,0.14,0.14277254638059803,1.23555,1.1800000000000002,1.5133,0.9578,0.27775000000000005,0.2832505339800792,1.31,1.2879999999999998,1.42,1.2,0.10999999999999999,0.11217842929904127,14.5,14.8,16.0,13.0,1.5,1.5297058540778357,4.5,4.8,6.0,3.0,1.5,1.5297058540778354,14.5,14.8,16.0,13.0,1.5,1.5297058540778357,3.5,3.2,5.0,2.0,1.5,1.5297058540778354,44.12,40.544,62.0,26.24,17.880000000000003,18.2340937806078
In2Te4,P1,AB2-1-a,0.48695793690540556,AB2,50.5,51.0,52,49,1.5,1.5811388300841898,1.94,1.9933333333333334,2.1,1.78,0.16000000000000003,0.1686548085423136,-7.5059000000000005,-8.235933333333334,-5.3158,-9.696,2.1900999999999997,2.3085681011782557,-1.22925,-1.6352333333333335,-0.0113,-2.4472,1.21795,1.2838320254006925,-4.2349,-4.807166666666666,-2.5181,-5.9517,1.7167999999999999,1.8096660956590245,3.3424500000000004,3.5576666666666665,3.9881,2.6968,0.6456500000000001,0.6805748570959047,1.0452,1.0133666666666665,1.1407,0.9497,0.09550000000000003,0.1006658388486935,1.33125,1.2705666666666666,1.5133,1.1492,0.18205000000000005,0.19189754934455122,0.4611,0.45050000000000007,0.4929,0.4293,0.031799999999999995,0.0335201431977848,1.395,1.3800000000000001,1.44,1.35,0.04499999999999993,0.04743416490252559,1.33125,1.2705666666666666,1.5133,1.1492,0.18205000000000005,0.19189754934455122,1.4,1.3933333333333333,1.42,1.38,0.020000000000000018,0.02108185106778919,14.5,15.0,16.0,13.0,1.5,1.5811388300841898,4.5,5.0,6.0,3.0,1.5,1.5811388300841898,14.5,15.0,16.0,13.0,1.5,1.5811388300841898,3.5,3.0,5.0,2.0,1.5,1.5811388300841898,49.5,45.333333333333336,62.0,37.0,12.5,13.176156917368246
Mo2O6,P2_1/m,AB3-11-e,2.0674670309309464,AB3,25.0,16.5,42,8,17.0,19.00657780874821,2.8,3.12,3.44,2.16,0.6399999999999999,0.7155417527999326,-11.586400000000001,-13.946200000000001,-6.8668,-16.306,4.719600000000001,5.276673213304004,-2.1866,-2.50185,-1.5561,-2.8171,0.6305,0.7049204299068087,-6.6744,-7.85245,-4.3183,-9.0305,2.3561,2.6341998808936276,2.03695,3.122675,4.2084,-0.1345,2.17145,2.4277549048709592,1.0013,0.73105,1.5418,0.4608,0.5405000000000001,0.6042973709193182,1.0479500000000002,0.7406250000000001,1.6626,0.4333,0.61465,0.6871995911851229,0.9010499999999999,0.9880249999999999,1.075,0.7271,0.17395,0.19448201234304419,1.0899999999999999,0.9099999999999999,1.45,0.73,0.36,0.40249223594996214,0.5802,0.50675,0.7271,0.4333,0.14689999999999998,0.1642391929473595,1.1,0.88,1.54,0.66,0.44,0.49193495504995377,6.0,6.0,6.0,6.0,0.0,0.0,6.0,6.0,6.0,6.0,0.0,0.0,11.0,13.5,16.0,6.0,5.0,5.5901699437494745,4.0,3.0,6.0,2.0,2.0,2.23606797749979,45.62,25.43,86.0,5.24,40.379999999999995,45.14621246572075
Nb8C4,Pmma,AB2-51-k,0.0,AB2,23.5,29.333333333333332,41,6,17.5,18.446619684315543,2.075,1.9166666666666667,2.55,1.6,0.47499999999999987,0.5006939628599932,-8.9596,-8.365833333333333,-7.1783,-10.7409,1.7812999999999999,1.8776550653526447,-0.78315,-0.8073,-0.7107,-0.8556,0.07245000000000001,0.07636900549306638,-4.952,-4.840866666666667,-4.6186,-5.2854,0.33340000000000014,0.35143445730004597,1.50975,0.7642000000000001,3.7464,-0.7269,2.23665,2.357636109538535,1.1085,1.2640666666666667,1.5752,0.6418,0.46669999999999995,0.49194499466686087,1.1849500000000002,1.3677000000000001,1.7332,0.6367,0.54825,0.5779062423957714,0.95415,0.8936999999999999,1.1355,0.7728,0.18134999999999996,0.19115968455717852,1.07,1.1700000000000002,1.37,0.77,0.30000000000000004,0.316227766016838,0.70475,0.7274333333333334,0.7728,0.6367,0.06805,0.07173099825815274,1.2,1.3466666666666667,1.64,0.76,0.43999999999999995,0.46380072349136225,4.5,4.666666666666667,5.0,4.0,0.5,0.52704627669473,4.5,4.666666666666667,5.0,4.0,0.5,0.52704627669473,9.5,8.0,14.0,5.0,4.5,4.743416490252569,5.5,6.0,7.0,4.0,1.5,1.5811388300841898,58.63,74.42,106.0,11.26,47.370000000000005,49.93236425405871
Pb4O4,Pca2_1,AB-29-a,2.614160573133381,AB,45.0,45.0,82,8,37.0,37.0,2.885,2.885,3.44,2.33,0.5549999999999999,0.5549999999999999,-11.423,-11.423,-6.54,-16.306,4.883000000000001,4.883000000000001,-1.7609,-1.7609,-0.7047,-2.8171,1.0562,1.0562,-6.26325,-6.26325,-3.496,-9.0305,2.76725,2.76725,3.38695,3.38695,4.2084,2.5655,0.82145,0.82145,0.7502,0.7502,1.0396,0.4608,0.28940000000000005,0.28940000000000005,0.9191,0.9191,1.4049,0.4333,0.4858,0.4858,0.8212999999999999,0.8212999999999999,1.075,0.5676,0.2537,0.2537,1.1,1.1,1.47,0.73,0.37,0.37,0.9191,0.9191,1.4049,0.4333,0.4858,0.4858,1.06,1.06,1.46,0.66,0.39999999999999997,0.39999999999999997,17.0,17.0,28.0,6.0,11.0,11.0,5.0,5.0,6.0,4.0,1.0,1.0,15.0,15.0,16.0,14.0,1.0,1.0,3.0,3.0,4.0,2.0,1.0,1.0,26.475,26.475,47.71,5.24,21.235,21.235
Pd4I8,P2_1/c,AB2-14-e,1.069250322077301,AB2,49.5,50.666666666666664,53,46,3.5,3.6893239368631088,2.43,2.506666666666667,2.66,2.2,0.22999999999999998,0.24244128727957573,-10.0308,-10.3844,-8.97,-11.0916,1.0607999999999995,1.1181813806355383,-1.9268,-2.3903666666666665,-0.5361,-3.3175,1.3907,1.4659265139987216,-5.6011500000000005,-6.095400000000001,-4.1184,-7.0839,1.4827499999999998,1.5629557335382216,0.39849999999999985,1.6745999999999999,4.2268,-3.4298,3.8283,4.035382522140869,1.1621,1.0755333333333332,1.4218,0.9024,0.2597,0.2737478361152427,1.2663,1.2025,1.4577,1.0749,0.19140000000000001,0.20175331471874264,0.4962,0.4681,0.5805,0.4119,0.08430000000000001,0.08886000225073147,1.32,1.3233333333333335,1.33,1.31,0.010000000000000009,0.01054092553389463,0.8277,0.9100999999999999,1.0749,0.5805,0.24719999999999998,0.2605716791978744,1.39,1.39,1.39,1.39,0.0,0.0,13.5,14.666666666666666,17.0,10.0,3.5,3.6893239368631088,8.5,8.0,10.0,7.0,1.5,1.5811388300841898,13.5,14.666666666666666,17.0,10.0,3.5,3.6893239368631088,0.5,0.6666666666666666,1.0,0.0,0.5,0.5270462766947299,33.3,33.733333333333334,34.6,32.0,1.3000000000000007,1.3703203194062985
Re2N2,Cm,AB-8-a,0.0,AB,41.0,41.0,75,7,34.0,34.0,2.4699999999999998,2.4699999999999998,3.04,1.9,0.5700000000000001,0.5700000000000001,-11.4878,-11.4878,-9.41,-13.5656,2.0778,2.0778,-1.3666,-1.3666,-1.0563,-1.6769,0.3103,0.3103,-6.2317,-6.2317,-5.3736,-7.0898,0.8581000000000003,0.8581000000000003,1.9427999999999999,1.9427999999999999,4.1526,-0.267,2.2097999999999995,2.2097999999999995,0.9461,0.9461,1.3561,0.5361,0.41000000000000003,0.41000000000000003,1.03515,1.03515,1.5549,0.5154,0.51975,0.51975,0.9828,0.9828,1.214,0.7516,0.23119999999999996,0.23119999999999996,1.17,1.17,1.59,0.75,0.42000000000000004,0.42000000000000004,0.6335,0.6335,0.7516,0.5154,0.11810000000000004,0.11810000000000004,1.1099999999999999,1.1099999999999999,1.51,0.71,0.4,0.4,13.0,13.0,21.0,5.0,8.0,8.0,6.0,6.0,7.0,5.0,1.0,1.0,11.0,11.0,15.0,7.0,4.0,4.0,4.0,4.0,5.0,3.0,1.0,1.0,36.3,36.3,65.0,7.6,28.7,28.7
Sn2O2,P4/nmm,AB-129-bc,0.014442410884048407,AB,29.0,29.0,50,8,21.0,21.0,2.7,2.7,3.44,1.96,0.74,0.74,-11.5685,-11.5685,-6.831,-16.306,4.737500000000001,4.737500000000001,-1.82645,-1.82645,-0.8358,-2.8171,0.99065,0.99065,-6.36195,-6.36195,-3.6934,-9.0305,2.66855,2.66855,3.55265,3.55265,4.2084,2.8969,0.65575,0.65575,0.7634000000000001,0.7634000000000001,1.066,0.4608,0.30260000000000004,0.30260000000000004,0.89435,0.89435,1.3554,0.4333,0.46104999999999996,0.46104999999999996,0.7722,0.7722,1.075,0.4694,0.3028,0.3028,1.0699999999999998,1.0699999999999998,1.41,0.73,0.33999999999999997,0.33999999999999997,0.89435,0.89435,1.3554,0.4333,0.46104999999999996,0.46104999999999996,1.025,1.025,1.39,0.66,0.3649999999999999,0.3649999999999999,10.0,10.0,14.0,6.0,4.0,4.0,5.0,5.0,6.0,4.0,1.0,1.0,15.0,15.0,16.0,14.0,1.0,1.0,3.0,3.0,4.0,2.0,1.0,1.0,30.790000000000003,30.790000000000003,56.34,5.24,25.55,25.55
Ta4Te6,C2/m,A2B3-12-i,0.0,A2B3,62.5,60.4,73,52,10.5,10.70794097854485,1.8,1.86,2.1,1.5,0.30000000000000004,0.30594117081556715,-8.69465,-8.89492,-7.6933,-9.696,1.00135,1.0211806379872272,-1.1188,-1.38448,0.2096,-2.4472,1.3284,1.354707504371331,-4.774,-5.009539999999999,-3.5963,-5.9517,1.1777,1.2010230562316444,1.77225,2.2154200000000004,3.9881,-0.4436,2.21585,2.2597324778389147,1.2081,1.15642,1.4665,0.9497,0.25839999999999996,0.26351732846247505,1.4068,1.35528,1.6644,1.1492,0.25760000000000005,0.2627014853403003,0.63315,0.59238,0.837,0.4293,0.20384999999999998,0.20788702556917782,1.365,1.362,1.38,1.35,0.014999999999999902,0.015297058540778237,0.9931,1.02432,1.1492,0.837,0.15610000000000002,0.15919138921436674,1.54,1.5079999999999998,1.7,1.38,0.16000000000000003,0.16316862443496916,17.5,17.2,19.0,16.0,1.5,1.5297058540778357,5.5,5.6,6.0,5.0,0.5,0.5099019513592784,10.5,11.6,16.0,5.0,5.5,5.608921464952063,4.5,4.0,7.0,2.0,2.5,2.5495097567963922,62.5,57.4,88.0,37.0,25.5,26.004999519323203
